id,model,date,rating,title,content
45974,iphone6s,2018-10-09,3,"Home button is loose, but the rest is great.","Everything about the phone is in great shape (even the battery is new), but the home button is loose and has this annoying double-click that you can feel and hear when pushing it. It’s getting worse over time. I’m wondering if this issue is the original reason why the phone was returned.I don’t want to have to return the phone because I don’t have a backup phone anymore, and, I’m afraid the replacement would have a worse battery or be in worse cosmetic condition.  I’m hoping the seller will reach out to me and work out a local repair so I don’t have to ship off the phone."
7141,galaxy_s4,2014-09-25,3,Good phone missing parts,Phone works good but the cover for the light on the back is missing.
49883,iphone7,2018-02-09,5,Great phone,"Great phone, like if it is a brand new phone."
37862,iphone5,2015-01-10,5,Five Stars,Got this phone very quick and unlocked just as advertised.
50861,iphone7,2018-11-06,4,very nicve product,I received the Iphone as described by the vendor and looks good
59306,iphone_5s,2016-09-22,1,ordered bran new for gift. turn out refurbished some ...,ordered bran new for gift. turn out refurbished some of the function were malfunctioning. dealer got lucky because phone is outside of U.S.A and I find out was too late.
69153,iphone_xs,2021-06-29,5,Love it!!,The phone works perfectly! It’s just like buying out of the store! Nothing wrong and easy to set up! Also comes with an charger!
33359,iphone4s,2014-05-17,3,Wifi Didn't work,Wifi didn't work on this phone. It wasn't from a lack of trying. I liked other features of this phone and that's why I gave it a 3.
67301,iphone_xs,2021-03-18,3,Messed up audio,"When talking on the phone, the audio comes through very muffled and it’s hard to hear even at full volume"
7179,galaxy_s4,2014-10-10,5,Great service great phone!,I bought this phone as gift for my husband and he's only had it a few days but he absolutely loves it! He has not let it out of his sight since receiving it. I received the phone within 4 days of ordering it and was very pleased with the packaging and contents. I would order from this dealer again and I highly recommend the phone.
25067,galaxy_s7,2018-03-07,2,"One of the main reasons why we upgraded from our older S3s was to get better reception, but now our major complaint is worse ...","We purchased two unlocked Galaxy S7 to use with our current provider. One of the main reasons why we upgraded from our older S3s was to get better reception, but now our major complaint is worse reception than we had before.. Our provider carefully checked everything at their end and determined that the problem is with the device itself.Why did we bother?"
72806,iphone_xs_max,2021-03-08,5,Amazing,I can’t take a picture of it but it so amazing I won’t be getting a new phone for a while because I like this one so much
48571,iphone6s,2019-08-17,5,Quality phone for a good price,Works exactly as you would expect an iphone to function.
12901,galaxy_s5,2015-05-15,1,I am so upset about this phone. I bought ...,I am so upset about this phone. I bought it online for a penny. I thought it was so inexpensive due to the fact that the Samsung 6 was coming out. My screen without having dropped it became discolored and had lines across it. I had this phone for less than 1 month and It was placed in an otterbox immediately. Now sprint will give me a new phone which is refurbished however this phone had to be refurbished to have broken so quickly.
13803,galaxy_s5,2015-10-16,4,Four Stars,Very good phone. Meet my expectation. Will recommend to friends.
54303,iphone7,2019-12-06,5,The phone is performing as promised!,The verdic is still out on the overall performance and quality of this re-newed iPhone 7. The only minor issue I have is the battery life.  I’m curious about the first 30-90 days.  But if the phones continues to perform as I initially purchased then I would give the process from purchasing to use 5 stars!
51375,iphone7,2019-02-19,5,Liked,Like needed a phone
71872,iphone_xs_max,2022-08-21,1,"Phone seems to be very slow, I'm not happy with it.","Mainly home use., Phone seems to be very slow, I'm not happy with it.  I'd like to return it"
39082,iphone5,2015-06-25,5,Five Stars,Nothing bad to say is just as advertised would buy another product from company !
58644,iphone_5s,2016-05-10,5,Five Stars,The phone is on good condition works perfect and arrived on time
50266,iphone7,2018-05-22,1,Very upset to be receiving a product like that and returned it instantly,"Received the phone only to not be able to use it. Called my carrier to find out if it was a problem with the network but it turns out that the phone that I purchased had a blacklisted IMEI, basically meaning that the phone was stolen/ locked for use before being sold to me. Very upset to be receiving a product like that and returned it instantly."
18429,galaxy_s6,2016-04-23,5,"Excelent product, fasta a serious service. 100% recommended",Excellent product and service
2523,galaxy_s3,2014-04-03,3,3 stars,Phone is nice but fire some strange reason the driver is missing no computer doesn't recognize the phone I find that a bit frustrating
27175,galaxy_s7,2019-07-19,5,No problems it's exactly what I was told it was.,No funny business I got exactly what I ordered
50806,iphone7,2018-10-18,5,its basically new!!!,i waited patiently and when it arrived i set it up easy!!! it came looking brand new and works like it is new i love it!!!!
14253,galaxy_s5,2016-02-05,5,I love it's multi-function capabilities,I have had this phone for about a year and have experienced no problems. This phone does so many things as I'am still learning new stuff a year later. It has the capability to allow you to be on the phone with someone and still able to browse the web to look up phone numbers or anything you need you can also send a text while speaking to someone on the phone. I love it's multi-function capabilities all the various options you have to personalize it to your needs the sturdiness of it and most of all the waterproof feature. The charging port has a cover on it and as long as it's sealed up and you accidently drop it in water your good. I have dropped mine in water twice and grabbed it out quickly and it never hurt it. I highly recommend this phone to everyone.
46426,iphone6s,2018-12-13,5,Looks brand new.,Phone looks brand new. I’m taking it to a friend in Ecuador so I haven’t used it and therefore can’t comment on the functionality or durability yet.
67869,iphone_xs,2021-04-27,5,Great Product and Quick Delivery,Great Product and Quick Delivery
15366,galaxy_s5,2016-09-14,5,I work for Verizon,"I'm a sales consultant for Verizon Wireless FYI. This is by one of the best phones Samsung has released in terms of a ""removable"" battery. The newer phones you do not have that option but this one you can and it will STILL run all the current apps AND perform fast just like the newest phones!"
75115,galaxy_s10e,2020-01-20,2,great idea but had to return the phone.,"i received the u.s. unlocked version and it seemed brand new with no scratches. most functions worked great including phone calls, wifi, and data connections. however all text messages failed to send on the at&t network. i tried several troubleshooting steps including confirming that the apn and message center number were correct, removing and reinserting the sim card but it just would not send text messages."
836,galaxy_s3,2013-01-23,5,i love it,I really liked the product they have very good price plus excellent quality. His delivery was on time was estimated. I recommend it!
7661,galaxy_s4,2015-01-28,5,Kept my current Verizon contract,Took the SIM card out of my Droid RAZR and stuck it in this S4 and it 10 seconds I got a text from Verizon congratulating me on my new phone. It works without any changes to my existing data/voice plan (still unlimited). Packaging was all original and the phone works great.
11126,galaxy_s5,2014-11-06,3,they say that even the phone is international version the LTE band from this phone is not useful in some providers of different,The product met my expectations partially since the LTE band doesn't work in my area (Uruguay). Despite the local company provides the LTE service they say that even the phone is international version the LTE band from this phone is not useful in some providers of different countries. This is very sad.
66958,iphone_xs,2020-07-29,4,Broken charger.,The charger it came with was split in half but it’s amazing otherwise. If it wasn’t for the broken charger I would’ve given that full 5 stars.
55735,iphone_5s,2014-07-17,5,Five Stars,It was in an excellent conditions IEMI was clean and Icould was unlocked!
52743,iphone7,2019-07-19,1,bad battery,"The battery only last for less than half a day. And the battery is very hot when I use it. I applied for refund immediatley but then I have no phone to use. So I kept it one more day to see if the battery could be better, but I am very disappointed. I went out to take some vedio, which was about 30 miniutes long, then the battery was too low to run. I had to come back to charage my  phone.  By the way when I left the house it was fully charged."
29785,iphone4,2013-07-08,2,It was in good condition but I can not use it because it's cdma,It was in good condition but I can not use it because it's cdma and I can not use it in my country
14508,galaxy_s5,2016-03-29,2,00 for phone expected a better outcome.,Back cover does not fit phone perfectly because the rounded hole for the headphones is not flush. Came with minor scratches and dents. Payed almost $200.00 for phone expected a better outcome.
68883,iphone_xs,2021-04-11,1,This product didn’t work,This product don’t work
36652,iphone5,2013-10-30,5,commended,terrific. The apple product has high quality and good service. I am satisfied about this purchase. It is recommended. thanks
55890,iphone_5s,2014-09-09,5,I love it,Good
36723,iphone5,2013-12-18,5,Great,Phone was great and new like it siad on the description. Love my new iPhone been using it for a good month and now problem thanks !
36241,iphone5,2013-03-24,1,Apple Needs to Step-up !!!,Review from India. My phone usage is high further I read lots of news and surf the Internet. Iphone 5 was a dream having seen my cousins and friends use apple products. I was aware of the closed apple environment no memory upgrade no battery change and probably one of the most expensive phones in the market (apple premium). I faced the following issues that made me change my mind. After a full charge the phone was 25% at 2 pm and completely drained by 4 pm. This is after manually shutting off all apps navigation and wifi. I had to carry three chargers for my house car office and a fourth emergency battery pack in my bag just to make it last the day. I found it to heat up when used for internet surfing even for 5 mts. When I went to the local Apple store they told me that the heating issue can be rectified if I use a case and since the battery depending on usage. When I did some reading I realised iphone has a 1440mAh battery while the. Galaxy S III has a beefier 2100mAh. There is a battery drain issue that apple is planning to fix. This issues was not faced by my friends who have use S G 3 or SG4 or HTC One or other phones. My old BB bold give me full days worth of talk and surf with still lot off juice in the night. After spending 900 usd (@ Rs 56) I don't think I could be expected carry a charger or buy a case. My feel is apple will rectify these issues in the next phone. Meanwhile I have moved on.
7186,galaxy_s4,2014-10-11,1,it hit to the ground on the corner and screen got cracked like a spider web,One time I dropped off accidentally it hit to the ground on the corner and screen got cracked like a spider web. I have dropped my iPhone many times and it did not break like Samsung
20046,galaxy_s6,2017-07-12,2,Two Stars,I've only had this phone for about three months and the battery is already shot.
62247,iphone_6,2015-11-13,5,Five Stars,I love it. It do a lot of stuff better than my other phone
70992,iphone_xs_max,2021-08-07,3,I need a label to send it back,I need the label to send it back so I can get my refund
33327,iphone4s,2014-05-08,2,Works fine but dies before the battery dies,Once the phone gets to 30% or less of battery it just shuts off randomly. Sometimes I can get it back on but usually it's just gone until it's charged again. Use a different seller.
4557,galaxy_s3,2015-05-21,5,Five Stars,Works great and a great price
31443,iphone4,2014-05-03,1,iPhone with reception microphone volume speaker issues!,Phone was defective ! It's NOT new as seller claimed. Paid $319 for phone that has many issues. I went to Apple to fix it and they said device is used and there were a few parts were replaced and they can not fix it it must be replaced. I contacted seller and said that's not his problem.
27204,galaxy_s7,2019-07-23,4,Is ok,I like the number 5 better than S7
52952,iphone7,2019-08-01,5,"Fast service, quality phone","It was a gift for my grandson and he loves it. It is his first smartphone and he hasn’t put it down. It was in excellent condition. So far, so good."
11006,galaxy_s5,2014-10-24,5,ANDROID OS PERFECT MIGHT SAY EEVEN BETTER THAN IOS,PHONE CAME IN FAST ANDROID OS PERFECT MIGHT SAY EEVEN BETTER THAN IOS  SOLID PHONE WORKS GREAT CANT COMPLAIN
53396,iphone7,2019-09-02,1,Not fully unlocked,"Was not unlocked for tmobile like the ad states.  I even paid extra to go with this company because of the reviews.  Be careful,  it's not fully unlocked."
31056,iphone4,2014-02-26,5,Whew!,Lost phone. This is the replacement. Called ATT and they sent a free SIM card with the old number on it so since most of the data and pictures were on the cloud they all transferred to this phone in about an hour! They were actually the ones that suggested buying a used one on Amazon!
61485,iphone_6,2015-03-20,5,Perfect,Is the perfection made phone
59785,iphone_5s,2017-01-15,5,Its is a good quality.,Reach on time and phone is well sealed. Its is a good quality.. I plan to buy one more..
27800,galaxy_s7,2019-11-04,5,"Very happy!  No muss, no fuss!",Everything as promised.  Very happy with this phone.  Took it over to AT&T and they set it up without a problem.
66598,iphone_xs,2021-02-07,5,A very good deal! Absolutely no regrets!,I received my phone yesterday. For the price I have no regrets. I made a very god deal. No scratches even a little little. Very responsive screen. Face id is very well. My only bad note is for the battery only 86 of health. But for the price I couldn’t expect better. Phone comes with a charger an power sector. I am really happy for my new phone.
65972,iphone_xs,2023-03-25,5,"Affordable, great phone!","My daughter was using my very old iPhone 8. It had many problems when I used it, and it had only gotten worse after her years of use. However, I could not justify spending $500+ on a new phone for her. When I came across these on Amazon, I was intrigued but hesitant. The reviews were great though, and it came with a 90 day return, so I decided it was worth the shot. I bought it in November, and gave it to her for Christmas 2022. It’s now March 2023 and she has had no issues with it whatsoever. Everything works great on it, the battery life is great! I am so thankful I found this great, and very affordable phone!"
22424,galaxy_s7,2016-05-15,5,Five Stars,Awesome phone. Great service.
40184,iphone5,2016-02-01,5,Husband's Christmas present because I wasn't sure he would like a smart phone or an Apple,Husband's Christmas present because I wasn't sure he would like a smart phone or an Apple. He loves it!!
29524,iphone4,2013-05-15,5,My first iPhone,While some people have been using the iPhone since the day it premiered I waited for it to come to verizon. While I have been a long time apple fan this is truly the best product I could have imagined. I use it as a phone a mini-mini ipad and ipod and most of all a gps! This iPhone is fast secure and reliable. The battery life is surprisingly long considering how often I use it and how many apps I frequently run at the same time. By far my favorite phone that I have ever owned. The apps on itunes are not a diverse as on android which is the one big downfall. And I have yet to find a good app that actually blocks calls which was easy to do with an android. The only other thing I miss from an android is that there isn't a slide out keyboard. I do find that I don't love the touch screen keyboard for fast texting and sending emails.
59166,iphone_5s,2016-08-22,4,Four Stars,????
37047,iphone5,2014-06-10,5,Great purchase!!,Great phone!! Clean & everything! Using it now for T-Mobile wasn't disappointed. You will definitely not be disappointed! Go for it!
21917,galaxy_s6,2018-10-04,5,Great,Fantastic fabulous.but came without the entire chargers.only came with a part of it.other setup missing.amazon check wanna selves with people's orders.because we don't shake trees to get monies.to order items stuffs
2886,galaxy_s3,2014-07-16,1,Water damaged phone being past as Refurbished,Very up set the phone had water damage a long with the battery. thank God the people at the phone place caught it. it was confirmed by 2 tech people. if you open the back of the phone on the left side there is a little window if it is reddish then your phone has water damaged. I trusted that this business was reputable.
4981,galaxy_s3,2015-11-14,5,Great phone for the price.,I love this phone. I know it isn't the most current smart phone but it more than meets my needs and expectations. The size is a bit bigger than my old basic phone but still fits in my pocketbook or pants pocket. I'm slowly learning all the aspects of this phone and so far all the features are great.
40025,iphone5,2015-12-23,5,Its Apple Quality,I got thing to use with Ting awhile back. It is everything you'd expect from an iPhone in build quality and ease of use. In my opinion the 5 is the most solid all around phone they've made. The great thing about Apple products is if you take care of them they have a pretty solid resale.
54341,iphone7,2019-12-10,1,Poor Quality Phone,Phone did not work. Got very hot to the touch when I tried to charge it. Very disappointed that Amazon would back trhisw company. Very poor quality
4845,galaxy_s3,2015-09-08,1,did not met my expectations cause i have almost 1 ...,did not met my expectations cause i have almost 1 month without a phonephone i bought was not working propery and also was not the type i chose the brand from vietnum and color i chose black instead was white i received. so it discouraged me for some how
